ARCHIVO: admin/class-all-sources-images-admin.php
Línea	Columna	Tipo	Código	Mensaje	Enlace para editarlo
312	9	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
312	9	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)

ARCHIVO: admin/includes/class-allsi-bulk-generation-db.php
Línea	Columna	Tipo	Código	Mensaje	Enlace para editarlo
125	26	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
125	26	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)
134	27	WARNING	WordPress.DB.DirectDatabaseQuery.SchemaChange	Attempting a database schema change is discouraged.	Ver en editor de código (abre en una nueva pestaña)
204	19	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
327	19	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
327	19	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)
350	19	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
350	19	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)
432	23	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
551	19	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
551	19	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)
626	16	WARNING	WordPress.DB.DirectDatabaseQuery.DirectQuery	Use of a direct database call is discouraged.	Ver en editor de código (abre en una nueva pestaña)
626	16	WARNING	WordPress.DB.DirectDatabaseQuery.NoCaching	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().	Ver en editor de código (abre en una nueva pestaña)
